categories,count,average,median
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards",2,572,720
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards",2,132,132
"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",2,647,706
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support",2,178,150
"Multi-player;Cross-Platform Multiplayer",2,95341,190585
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Trading Cards;Steam Cloud",2,1156,1369
"Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",2,415,489
"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats;Steam Leaderboards",2,364,470
"Single-player;Steam Trading Cards;Steam Workshop",2,294,294
"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud",2,111,111
"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor",2,8167,1857
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud",2,1732,2393
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support",2,1213,1054
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor",2,391,424
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud",2,0,0
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Includes level editor",2,164,188
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards",2,221,275
"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud",2,537,714
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",2,4832,3485
"Multi-player;Online Multi-Player;Valve Anti-Cheat enabled",1,175,10
"Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled",1,1300,83
"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK",1,691,402
"Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK",1,6842,400
"Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK",1,1356,134
"Multi-player;Valve Anti-Cheat enabled;Includes Source SDK",1,311,32
"Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available",1,288,137
"Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available",1,8495,623
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available",1,897,278
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available",1,1615,566
"Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled",1,23944,801
"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available",1,1102,520
"Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor",1,371,83
"Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats",1,22494,6502
"Multi-player;Steam Achievements;Valve Anti-Cheat enabled",1,232,258
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor",1,1328,306
Single-player;Stats,1,0,0
"Steam Workshop",1,239,77
"Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support",1,484,422
"Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled",1,233,239
"Single-player;Shared/Split Screen;Steam Trading Cards",1,186,258
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud",1,1744,3386
"Single-player;Multi-player;Co-op;Includes level editor",1,0,0
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor",1,12422,1875
"Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor",1,627,253
"Single-player;Multi-player;Local Multi-Player;Steam Cloud",1,369,265
"Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud",1,618,320
